Brand,Model,Price,RAM,Storage,Battery,Camera,Display_Size,Rating,5G
Samsung,Galaxy A15,14999,6,128,5000,50,6.5,4.2,Yes
Samsung,Galaxy A25,22999,8,128,5000,50,6.5,4.3,Yes
Samsung,Galaxy M35,19999,8,128,6000,50,6.6,4.4,Yes
Samsung,Galaxy S23 FE,44999,8,128,4500,50,6.4,4.5,Yes
Samsung,Galaxy S24,74999,8,256,4000,50,6.2,4.6,Yes
Apple,iPhone 13,52999,4,128,3227,12,6.1,4.6,Yes
Apple,iPhone 14,59999,6,128,3279,12,6.1,4.6,Yes
Apple,iPhone 15,69999,6,128,3349,48,6.1,4.7,Yes
Apple,iPhone 15 Plus,79999,6,128,4383,48,6.7,4.7,Yes
Apple,iPhone 15 Pro,99999,8,256,3274,48,6.1,4.8,Yes
OnePlus,Nord CE 4,24999,8,128,5500,50,6.7,4.4,Yes
OnePlus,Nord 4,29999,8,128,5500,50,6.7,4.5,Yes
OnePlus,12R,39999,8,128,5500,50,6.8,4.6,Yes
OnePlus,12,64999,12,256,5400,50,6.8,4.7,Yes
OnePlus,Open,139999,16,512,4805,48,7.8,4.5,Yes
Xiaomi,Redmi 13C,9999,4,128,5000,50,6.7,4.1,Yes
Xiaomi,Redmi Note 13,13999,6,128,5000,108,6.7,4.3,Yes
Xiaomi,Redmi Note 13 Pro,24999,8,256,5100,200,6.7,4.5,Yes
Xiaomi,Poco X6,22999,8,256,5100,64,6.7,4.4,Yes
Xiaomi,Poco F6,29999,12,256,5000,50,6.7,4.5,Yes
Realme,Narzo 70,14999,8,128,5000,50,6.7,4.3,Yes
Realme,P1,15999,8,256,5000,50,6.7,4.4,Yes
Realme,GT 6T,30999,8,128,5500,50,6.78,4.5,Yes
Realme,GT 6,40999,12,256,5500,50,6.78,4.6,Yes
iQOO,Z9,19999,8,128,5000,50,6.67,4.4,Yes
iQOO,Z10,23999,8,128,7300,50,6.77,4.5,Yes
iQOO,Neo 9 Pro,33999,8,128,5160,50,6.78,4.6,Yes
iQOO,12,52999,12,256,5000,50,6.78,4.7,Yes
Vivo,T3x,13999,6,128,6000,50,6.72,4.2,Yes
Vivo,V30e,27999,8,128,5500,50,6.78,4.4,Yes
Vivo,V40,34999,8,256,5500,50,6.78,4.5,Yes
Vivo,X100,63999,16,512,5400,50,6.78,4.7,Yes
Oppo,A3 Pro,27999,8,128,4970,64,6.7,4.3,Yes
Oppo,F25 Pro,23999,8,128,5000,64,6.7,4.4,Yes
Oppo,Reno 12,32999,8,256,5000,50,6.7,4.5,Yes
Oppo,Find X8,69999,12,256,5630,50,6.59,4.6,Yes
Motorola,Moto G64,14999,8,128,6000,50,6.5,4.3,Yes
Motorola,Edge 50 Fusion,22999,8,128,5000,50,6.7,4.5,Yes
Motorola,Edge 50 Pro,31999,8,256,4500,50,6.7,4.6,Yes
Motorola,Razr 50,64999,12,512,4200,50,6.9,4.4,Yes
Google,Pixel 7a,43999,8,128,4385,64,6.1,4.5,Yes
Google,Pixel 8a,52999,8,128,4492,64,6.1,4.6,Yes
Google,Pixel 8,75999,8,128,4575,50,6.2,4.7,Yes
Google,Pixel 9,79999,12,256,4700,50,6.3,4.7,Yes
